age_CE,varve_thick,light_lamin_thick,dark_lamin_thick,age_BP,ref,lake_name,lat,lon
2009,2.886639344262295,2.6222950819672133,0.2643442622950818,-60,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",Kusai,35.6916667,92.8333333
2008,2.7597540983606565,2.5165573770491814,0.24319672131147513,-59,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",Kusai,35.6916667,92.8333333
2007,3.045245901639345,2.7280327868852465,0.31721311475409836,-58,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",Kusai,35.6916667,92.8333333
2006,3.87,3.6162295081967204,0.2537704918032819,-57,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",Kusai,35.6916667,92.8333333
2005,1.5860655737704905,1.2688524590163934,0.3172131147540972,-56,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",Kusai,35.6916667,92.8333333
2004,1.4063114754098363,1.1525409836065574,0.2537704918032787,-55,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",Kusai,35.6916667,92.8333333
2003,1.0573770491803278,0.8036065573770494,0.25377049180327843,-54,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",Kusai,35.6916667,92.8333333
2002,1.8081147540983613,1.607213114754099,0.20090163934426244,-53,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",Kusai,35.6916667,92.8333333
2001,1.8398360655737702,1.5754918032786884,0.2643442622950818,-52,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",Kusai,35.6916667,92.8333333
2000,3.1615573770491814,2.9289344262295094,0.23262295081967183,-51,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",Kusai,35.6916667,92.8333333
