lake_name,age_CE,varve_thick,light_lamin_thick,dark_lamin_thick,lat,lon,ref
Żabińskie,2011,3.84,0.702,3.138,54.1318,21.9836,"Żarczynski, M., Wacnik, A., Tylmann, W., 2019. Tracing lake mixing and oxygenation regime using the Fe/Mn ratio in varved sediments: 2000year-long record of human-induced changes from Lake Zabinskie (NE Poland). Science of the Total Environment 657, 585–596. Available at: https://doi.org/10.1016/j.scitotenv.2018.12.078
"
Żabińskie,2010,3.8419999999999996,1.437,2.4049999999999994,54.1318,21.9836,"Żarczynski, M., Wacnik, A., Tylmann, W., 2019. Tracing lake mixing and oxygenation regime using the Fe/Mn ratio in varved sediments: 2000year-long record of human-induced changes from Lake Zabinskie (NE Poland). Science of the Total Environment 657, 585–596. Available at: https://doi.org/10.1016/j.scitotenv.2018.12.078
"
Żabińskie,2009,4.197083333333333,1.939,2.2580833333333326,54.1318,21.9836,"Żarczynski, M., Wacnik, A., Tylmann, W., 2019. Tracing lake mixing and oxygenation regime using the Fe/Mn ratio in varved sediments: 2000year-long record of human-induced changes from Lake Zabinskie (NE Poland). Science of the Total Environment 657, 585–596. Available at: https://doi.org/10.1016/j.scitotenv.2018.12.078
"
Żabińskie,2008,3.1016666666666666,1.872,1.2296666666666665,54.1318,21.9836,"Żarczynski, M., Wacnik, A., Tylmann, W., 2019. Tracing lake mixing and oxygenation regime using the Fe/Mn ratio in varved sediments: 2000year-long record of human-induced changes from Lake Zabinskie (NE Poland). Science of the Total Environment 657, 585–596. Available at: https://doi.org/10.1016/j.scitotenv.2018.12.078
"
Żabińskie,2007,4.296,1.805,2.4910000000000005,54.1318,21.9836,"Żarczynski, M., Wacnik, A., Tylmann, W., 2019. Tracing lake mixing and oxygenation regime using the Fe/Mn ratio in varved sediments: 2000year-long record of human-induced changes from Lake Zabinskie (NE Poland). Science of the Total Environment 657, 585–596. Available at: https://doi.org/10.1016/j.scitotenv.2018.12.078
"
Żabińskie,2006,4.998333333333332,0.970000000000002,4.028333333333331,54.1318,21.9836,"Żarczynski, M., Wacnik, A., Tylmann, W., 2019. Tracing lake mixing and oxygenation regime using the Fe/Mn ratio in varved sediments: 2000year-long record of human-induced changes from Lake Zabinskie (NE Poland). Science of the Total Environment 657, 585–596. Available at: https://doi.org/10.1016/j.scitotenv.2018.12.078
"
Żabińskie,2005,3.4130000000000003,1.303,2.1100000000000003,54.1318,21.9836,"Żarczynski, M., Wacnik, A., Tylmann, W., 2019. Tracing lake mixing and oxygenation regime using the Fe/Mn ratio in varved sediments: 2000year-long record of human-induced changes from Lake Zabinskie (NE Poland). Science of the Total Environment 657, 585–596. Available at: https://doi.org/10.1016/j.scitotenv.2018.12.078
"
Żabińskie,2004,5.505,1.103,4.402,54.1318,21.9836,"Żarczynski, M., Wacnik, A., Tylmann, W., 2019. Tracing lake mixing and oxygenation regime using the Fe/Mn ratio in varved sediments: 2000year-long record of human-induced changes from Lake Zabinskie (NE Poland). Science of the Total Environment 657, 585–596. Available at: https://doi.org/10.1016/j.scitotenv.2018.12.078
"
Żabińskie,2003,3.955000000000002,1.27,2.685000000000002,54.1318,21.9836,"Żarczynski, M., Wacnik, A., Tylmann, W., 2019. Tracing lake mixing and oxygenation regime using the Fe/Mn ratio in varved sediments: 2000year-long record of human-induced changes from Lake Zabinskie (NE Poland). Science of the Total Environment 657, 585–596. Available at: https://doi.org/10.1016/j.scitotenv.2018.12.078
"
Żabińskie,2002,7.178333333333332,2.908,4.2703333333333315,54.1318,21.9836,"Żarczynski, M., Wacnik, A., Tylmann, W., 2019. Tracing lake mixing and oxygenation regime using the Fe/Mn ratio in varved sediments: 2000year-long record of human-induced changes from Lake Zabinskie (NE Poland). Science of the Total Environment 657, 585–596. Available at: https://doi.org/10.1016/j.scitotenv.2018.12.078
"
